IP:Port:  10.30.20.6 50200
IP:Port:  10.30.20.6 50201
IP:Port:  10.30.20.6 50202
IP:Port:  10.30.20.6 50203
[3383418482505] frame: 359, pkt:0, explength:1, module id: 31 ,row: 0, column: 0
[3383418482505] frame: 359, pkt:0, explength:1, module id: 31 ,row: 0, column: 1
[3383415165725] frame: 358, pkt:0, explength:1, module id: 32 ,row: 1, column: 0
[3383415165726] frame: 358, pkt:0, explength:1, module id: 32 ,row: 1, column: 1
[3383418482505] frame: 359, pkt:1, explength:1, module id: 31 ,row: 0, column: 0
[3383418482505] frame: 359, pkt:1, explength:1, module id: 31 ,row: 0, column: 1
[3383415165725] frame: 358, pkt:1, explength:1, module id: 32 ,row: 1, column: 0
[3383415165726] frame: 358, pkt:1, explength:1, module id: 32 ,row: 1, column: 1
[3383418482505] frame: 359, pkt:2, explength:1, module id: 31 ,row: 0, column: 0
[3383418482505] frame: 359, pkt:2, explength:1, module id: 31 ,row: 0, column: 1
[3383415165725] frame: 358, pkt:2, explength:1, module id: 32 ,row: 1, column: 0
[3383415165726] frame: 358, pkt:2, explength:1, module id: 32 ,row: 1, column: 1
[3383418482505] frame: 359, pkt:3, explength:1, module id: 31 ,row: 0, column: 0
[3383418482505] frame: 359, pkt:3, explength:1, module id: 31 ,row: 0, column: 1
[3383415165725] frame: 358, pkt:3, explength:1, module id: 32 ,row: 1, column: 0
[3383415165726] frame: 358, pkt:3, explength:1, module id: 32 ,row: 1, column: 1
[3383418482505] frame: 359, pkt:4, explength:1, module id: 31 ,row: 0, column: 0
[3383418482505] frame: 359, pkt:4, explength:1, module id: 31 ,row: 0, column: 1
[3383415165725] frame: 358, pkt:4, explength:1, module id: 32 ,row: 1, column: 0
[3383415165726] frame: 358, pkt:4, explength:1, module id: 32 ,row: 1, column: 1
[3383418482505] frame: 359, pkt:5, explength:1, module id: 31 ,row: 0, column: 0
[3383418482505] frame: 359, pkt:5, explength:1, module id: 31 ,row: 0, column: 1
[3383415165725] frame: 358, pkt:5, explength:1, module id: 32 ,row: 1, column: 0
[3383415165726] frame: 358, pkt:5, explength:1, module id: 32 ,row: 1, column: 1
[3383418482505] frame: 359, pkt:6, explength:1, module id: 31 ,row: 0, column: 0
